Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Europe & Central Asia (excluding high income),5.201426489,5.483896758,6.23726897,7.826069285,9.115816985,9.877070932,10.74805579,11.78592968,11.97567628,10.69809535,10.0255186,9.735929464,9.5031789,9.214440939,8.591872281,8.092895999,7.288852103,7.285917203,8.996227243,8.406036906,7.800529055,7.20704255,7.234702777,7.418201145,7.543797504,7.505299927,7.221598195,7.039591338
Europe & Central Asia,6.939999548,7.44363115,8.619173164,9.667616282,9.979903691,10.32659821,10.56739794,10.74333707,10.64519482,9.813719589,9.106337883,9.151478853,9.163602122,9.136493822,8.722009377,8.069246032,7.149018625,7.071659738,8.901875669,8.993014459,8.753584164,8.961432571,9.189806103,8.939809493,8.542868584,8.075992432,7.452521525,6.941762671
Ecuador,4.431000233,4.465000153,4.717999935,4.847000122,4.921000004,4.980999947,4.987999916,4.856999874,5.006000042,4.798999786,4.251999855,4.925000191,5.662000179,5.001999855,3.779000044,3.549999952,3.14199996,3.917000055,4.607999802,4.087999821,3.457999945,3.234999895,3.082999945,3.480000019,3.615999937,4.597000122,3.835999966,3.910000086
"Egypt, Arab Rep.",9.380000114,8.920000076,10.92000008,10.93000031,11.03999996,9,8.369999886,8.029999733,7.949999809,8.979999542,9.260000229,10.01000023,11.01000023,10.31999969,11.19999981,10.48999977,8.800000191,8.517000198,9.086999893,8.756999969,11.84899998,12.59700012,13.15400028,13.10499954,13.05200005,12.40699959,11.77000046,11.43599987
Euro area,8.276788789,8.890860901,10.67650957,11.75842901,11.43468484,11.66576311,11.66088393,11.20009599,10.4399689,9.42432444,8.347644124,8.61413948,8.957488677,9.24466145,8.95236799,8.247442836,7.377650723,7.430992875,9.480836831,10.04311652,10.11694612,11.29494189,11.93136377,11.60258511,10.83422418,10.01863765,9.04930057,8.200749362
Eritrea,6.702000141,6.81400013,6.604000092,6.75,6.870999813,6.632999897,6.556000233,6.578000069,6.446000099,6.861000061,6.446000099,6.863999844,6.816999912,6.856999874,6.71600008,6.629000187,6.360000134,6.106999874,6.831999779,6.899000168,6.907000065,6.926000118,6.954999924,6.867000103,6.80700016,6.684000015,6.497000217,6.543000221
Spain,15.9289999,17.70100021,22.1609993,24.20899963,22.67499924,22.1420002,20.69799995,18.67399979,15.47599983,13.78499985,10.34799957,11.14599991,11.28299999,11.09000015,9.145999908,8.451999664,8.232000351,11.25399971,17.85700035,19.86000061,21.38999939,24.78700066,26.09399986,24.44099998,22.05699921,19.63500023,17.22400093,15.48700047
Estonia,1.468000054,3.680999994,6.544000149,7.56099987,9.659000397,9.914999962,10.36900043,9.510000229,11.57299995,13.35999966,13.13399982,10.02600002,11.28800011,10.24800014,8.032999992,5.914999962,4.592000008,5.454999924,13.54800034,16.70700073,12.32800007,10.02099991,8.630999565,7.352000237,6.186999798,6.762000084,5.760000229,5.507999897
Ethiopia,2.898000002,2.976000071,3.095999956,3.099999905,3.316999912,3.338000059,3.492000103,3.489000082,3.713999987,3.440999985,3.209000111,3.065999985,2.913000107,2.664999962,2.496999979,2.295000076,2.178999901,2.130000114,2.354000092,2.390000105,2.289000034,2.197000027,2.250999928,2.104000092,2.013999939,1.934999943,1.809999943,1.809000015
European Union,8.583570474,9.234612684,10.67435198,11.24301529,10.76156889,10.71174793,10.38531311,9.90675996,9.651273638,9.277557804,8.620122216,8.960640716,9.022358611,9.198902007,8.900268965,8.155530712,7.125663819,6.958047125,8.873375462,9.514135697,9.602419734,10.41945343,10.81761226,10.2063134,9.382377042,8.534692129,7.612139277,6.823761403
